scientific_name,park_name,observations,category,common_names,conservation_status,is_protected
Mimulus ringens,Yellowstone National Park,269,Vascular Plant,"Monkey Flower, Square-Stem Monkeyflower",No Intervention,False
Carduus nutans,Yellowstone National Park,271,Vascular Plant,Musk Thistle,No Intervention,False
Sorghum halepense,Great Smoky Mountains National Park,88,Vascular Plant,Johnson Grass,No Intervention,False
Potentilla ovina var. ovina,Great Smoky Mountains National Park,56,Vascular Plant,Sheep Cinquefoil,No Intervention,False
Viola septentrionalis,Yosemite National Park,165,Vascular Plant,Northern Woodland Violet,No Intervention,False
Rubus leucodermis,Yosemite National Park,112,Vascular Plant,"Western Raspberry, Whitebark Raspberry",No Intervention,False
Limosa haemastica,Bryce National Park,75,Bird,Hudsonian Godwit,No Intervention,False
Bromus vulgaris,Yellowstone National Park,255,Vascular Plant,Columbia Brome,No Intervention,False
Paxistima myrsinites,Bryce National Park,135,Vascular Plant,"Boxleaf, Boxleaf Myrtle, Mountain Lover, Oregon Boxleaf",No Intervention,False
Sanicula trifoliata,Bryce National Park,97,Vascular Plant,"Large-Fruited Sanicle, Trifoliate Black Snakeroot",No Intervention,False
Desmodium rotundifolium,Yellowstone National Park,245,Vascular Plant,"Prostrate Tick-Treefoil, Prostrate Tick-Trefoil",No Intervention,False
Castilleja miniata,Bryce National Park,88,Vascular Plant,"Giant Red Indian Paintbrush, Great Red Indian Paintbrush, Great Red Indian-Paintbrush, Scarlet Indian Paintbrush, Scarlet Paintbrush",No Intervention,False
Cinclus mexicanus,Yosemite National Park,135,Bird,American Dipper,No Intervention,False
Scutellaria incana var. punctata,Yellowstone National Park,286,Vascular Plant,Hoary Skullcap,No Intervention,False
Carex grayi,Yellowstone National Park,251,Vascular Plant,Gray's Sedge,No Intervention,False
Minuartia pusilla,Bryce National Park,101,Vascular Plant,"Annual Sandwort, Dwarf Sandwort",No Intervention,False
Pedicularis cystopteridifolia,Yosemite National Park,171,Vascular Plant,Fernleaved Pedicularis,No Intervention,False
Rumex pulcher,Bryce National Park,99,Vascular Plant,Fiddle Dock,No Intervention,False
Regina septemvittata,Yosemite National Park,125,Reptile,Queen Snake,Species of Concern,True
Lythrum hyssopifolia,Yosemite National Park,149,Vascular Plant,Hyssop Loosestrife,No Intervention,False
Sanguisorba annua,Yosemite National Park,158,Vascular Plant,Prairie Burnet,No Intervention,False
Mentha suaveolens,Great Smoky Mountains National Park,57,Vascular Plant,"Apple Mint, Bigleaf Mint, Mint",No Intervention,False
Carex helleri,Yosemite National Park,153,Vascular Plant,"Heller's Sedge, Sierra Sedge",No Intervention,False
Eremophila alpestris,Yosemite National Park,193,Bird,Horned Lark,No Intervention,False
Hypericum buckleii,Yosemite National Park,140,Vascular Plant,Buckley's St. Johnswort,No Intervention,False
Eriogonum ovalifolium var. nivale,Yosemite National Park,136,Vascular Plant,Cushion Buckwheat,No Intervention,False
Heterophyllium affine,Bryce National Park,106,Nonvascular Plant,Heterophyllium Moss,No Intervention,False
Carya illinoinensis,Yosemite National Park,127,Vascular Plant,Pecan,No Intervention,False
Aquilegia flavescens,Bryce National Park,102,Vascular Plant,Yellow Columbine,No Intervention,False
Juniperus occidentalis,Bryce National Park,76,Vascular Plant,Western Juniper,No Intervention,False
Falco mexicanus,Yosemite National Park,121,Bird,Prairie Falcon,Species of Concern,True
Columba livia,Bryce National Park,135,Bird,Rock Dove,No Intervention,False
Agoseris aurantiaca,Bryce National Park,111,Vascular Plant,"Orange Agoseris, Orange-Flowered False-Dandelion",No Intervention,False
Aquilegia flavescens,Yellowstone National Park,236,Vascular Plant,Yellow Columbine,No Intervention,False
Pinus attenuata,Yosemite National Park,155,Vascular Plant,Knobcone Pine,No Intervention,False
Oreoscoptes montanus,Great Smoky Mountains National Park,38,Bird,Sage Thrasher,Species of Concern,True
Juncus filiformis,Great Smoky Mountains National Park,90,Vascular Plant,Thread Rush,No Intervention,False
Carex lurida,Yosemite National Park,188,Vascular Plant,"Shallow Sedge, Smaller Hop Sedge",No Intervention,False
Drosera rotundifolia,Yellowstone National Park,272,Vascular Plant,"Roundleaf Sundew, Sundew",No Intervention,False
Chimaphila maculata,Bryce National Park,78,Vascular Plant,"Spotted Wintergreen, Striped Pipsissewa",No Intervention,False
Eurycea longicauda longicauda,Bryce National Park,122,Amphibian,Longtail Salamander,No Intervention,False
Potentilla glandulosa ssp. nevadensis,Bryce National Park,92,Vascular Plant,Nevada Cinquefoil,No Intervention,False
Liatris squarrulosa,Great Smoky Mountains National Park,69,Vascular Plant,"Appalachian Gayfeather, Earle's Blazing Star",No Intervention,False
Chelydra serpentina serpentina,Yosemite National Park,143,Reptile,Common Snapping Turtle,No Intervention,False
Peromyscus leucopus,Yosemite National Park,148,Mammal,White-Footed Mouse,No Intervention,False
Artemisia dracunculus,Bryce National Park,101,Vascular Plant,"False Tarragon, Green Sagewort, Silky Wormwood, Tarragon, Wormwood",No Intervention,False
Calocedrus decurrens,Yellowstone National Park,232,Vascular Plant,Incense Cedar,No Intervention,False
Leskea obscura,Yosemite National Park,162,Nonvascular Plant,Leskea Moss,No Intervention,False
Aster ascendens,Great Smoky Mountains National Park,114,Vascular Plant,Chile Aster,No Intervention,False
Lolium perenne ssp. perenne,Great Smoky Mountains National Park,92,Vascular Plant,Perennial Ryegrass,No Intervention,False
Buteo regalis,Yellowstone National Park,271,Bird,Ferruginous Hawk,No Intervention,False
Packera anonyma,Yosemite National Park,166,Vascular Plant,Small's Ragwort,No Intervention,False
Polygala sanguinea,Yosemite National Park,156,Vascular Plant,Field Milkwort,No Intervention,False
Arabis platysperma var. platysperma,Yosemite National Park,135,Vascular Plant,Pioneer Rockcress,No Intervention,False
Stellaria borealis ssp. sitchana,Bryce National Park,79,Vascular Plant,Sitka Starwort,No Intervention,False
Lycopus virginicus,Great Smoky Mountains National Park,82,Vascular Plant,"Virginia Bugleweed, Virginia Water-Horehound",No Intervention,False
Lasthenia californica,Bryce National Park,88,Vascular Plant,"California Goldfields, Goldfields",No Intervention,False
Monotropsis odorata,Great Smoky Mountains National Park,55,Vascular Plant,"Sweet Pinesap, Sweet Pine-Sap",Species of Concern,True
Vermivora pinus X chrysoptera,Yosemite National Park,136,Bird,Brewster's Warbler,No Intervention,False
Draba ramosissima,Yosemite National Park,168,Vascular Plant,"Branched Whitlow Grass, Branching Whitlow Grass",No Intervention,False
Oxyria digyna,Bryce National Park,90,Vascular Plant,"Alpine Mountainsorrel, Mountain Sorrel",No Intervention,False
Subularia aquatica var. americana,Bryce National Park,86,Vascular Plant,"American Awlwort, American Waterawlwort",No Intervention,False
Gnaphalium helleri,Yosemite National Park,153,Vascular Plant,"Catfoot, Glandular Catfoot",No Intervention,False
Kalmia polifolia,Great Smoky Mountains National Park,45,Vascular Plant,"Bog Kalmia, Bog Laurel, Box Laurel, Swamp Laurel",No Intervention,False
Poecile rufescens,Yellowstone National Park,247,Bird,Chestnut-Backed Chickadee,No Intervention,False
Antennaria neglecta,Yellowstone National Park,221,Vascular Plant,"Field Pussy Toes, Field Pussytoes",No Intervention,False
Urocitellus beldingi,Bryce National Park,131,Mammal,Belding's Ground Squirrel,No Intervention,False
Silene latifolia ssp. alba,Yosemite National Park,155,Vascular Plant,Bladder Campion,No Intervention,False
Cirsium muticum,Yellowstone National Park,278,Vascular Plant,Swamp Thistle,No Intervention,False
Impatiens pallida,Great Smoky Mountains National Park,86,Vascular Plant,"Pale Jewel-Weed, Pale Jewelweed, Touch Me-Not",No Intervention,False
Chamaesyce serpyllifolia ssp. serpyllifolia,Yosemite National Park,139,Vascular Plant,"Thymeleaf Sandmat, Thyme-Leaf Sandmat, Thymeleaf Spurge",No Intervention,False
Hypsiglena torquata nuchalata,Yellowstone National Park,254,Reptile,California Nightsnake,No Intervention,False
Carex laxiflora,Great Smoky Mountains National Park,86,Vascular Plant,"Broad Looseflower Sedge, Loose-Flowered Sedge",No Intervention,False
Caulophyllum thalictroides,Yellowstone National Park,256,Vascular Plant,Blue Cohosh,No Intervention,False
Carex douglasii,Bryce National Park,92,Vascular Plant,"Douglas Sedge, Douglas' Sedge",No Intervention,False
Eleocharis obtusa,Yosemite National Park,165,Vascular Plant,"Blunt Spike-Rush, Spike-Rush",No Intervention,False
Ixoreus naevius,Yosemite National Park,130,Bird,Varied Thrush,No Intervention,False
Oxytropis parryi,Bryce National Park,102,Vascular Plant,"Parry Pointvetch, Parry's Crazyweed, Parry's Oxytrope",No Intervention,False
Hybopsis amblops,Great Smoky Mountains National Park,69,Fish,Bigeye Chub,No Intervention,False
Heterodon platirhinos,Yellowstone National Park,257,Reptile,Eastern Hognose Snake,No Intervention,False
Silphium asteriscus,Yosemite National Park,148,Vascular Plant,"Starry Rosinweed, Starry Rosin-Weed",No Intervention,False
Tiarella cordifolia var. collina,Yosemite National Park,118,Vascular Plant,Wherry's Foamflower,No Intervention,False
Scirpus congdonii,Yosemite National Park,138,Vascular Plant,Congdon's Bulrush,No Intervention,False
Holodiscus discolor,Yosemite National Park,134,Vascular Plant,"Creambush, Creambush Oceanspray, Hillside Oceanspray, Oceanspray",No Intervention,False
Eriogonum roseum,Bryce National Park,78,Vascular Plant,Wand Buckwheat,No Intervention,False
Glaucidium gnoma,Yosemite National Park,162,Bird,"Mountain Pygmy Owl, Northern Pygmy-Owl",No Intervention,False
Prunus emarginata,Yosemite National Park,151,Vascular Plant,"Bitter Cherry, Bittercherry",No Intervention,False
Pyrrocoma uniflora,Bryce National Park,93,Vascular Plant,Plantain Goldenweed,No Intervention,False
Liatris scariosa,Bryce National Park,114,Vascular Plant,Devil's Bite,No Intervention,False
Heuchera parvifolia,Bryce National Park,100,Vascular Plant,"Common Alumroot, Littleleaf Alumroot, Little-Leaf Alumroot",No Intervention,False
Leucobryum glaucum,Yellowstone National Park,248,Nonvascular Plant,Leucobryum Moss,No Intervention,False
Carex sartwelliana,Yosemite National Park,145,Vascular Plant,Yosemite Sedge,No Intervention,False
Calidris melanotos,Great Smoky Mountains National Park,71,Bird,Pectoral Sandpiper,No Intervention,False
Camissonia subacaulis,Bryce National Park,103,Vascular Plant,"Diffuseflower Evening Primrose, Diffuseflower Evening-Primrose, Longleaf Suncup, Northern Eveningprimrose",No Intervention,False
Balsamorhiza macrolepis,Yosemite National Park,145,Vascular Plant,"California Balsamroot, Silvery Balsamroot",No Intervention,False
Lycopus uniflorus,Bryce National Park,94,Vascular Plant,"Bugleweed, Northern Bugleweed",No Intervention,False
Polygonum persicaria,Yellowstone National Park,280,Vascular Plant,"Ladys Thumb, Lady's Thumb",No Intervention,False
Tortula amphidiacea,Great Smoky Mountains National Park,84,Nonvascular Plant,Tortula Moss,No Intervention,False
Atrichum crispum,Yosemite National Park,140,Nonvascular Plant,Atrichum Moss,No Intervention,False
Stercorarius parasiticus,Great Smoky Mountains National Park,76,Bird,Parasitic Jaeger,No Intervention,False
Asio flammeus,Yosemite National Park,105,Bird,Short-Eared Owl,Species of Concern,True
Lewisia triphylla,Bryce National Park,104,Vascular Plant,"Threeleaf Bitterroot, Threeleaf Lewisia",No Intervention,False
Castilleja attenuata,Bryce National Park,93,Vascular Plant,"Attenuate Indian Paintbrush, Indian Paintbrush",No Intervention,False
Spergularia rubra,Yellowstone National Park,236,Vascular Plant,"Purple Sandspurry, Red Sandspurry",No Intervention,False
Lolium perenne,Great Smoky Mountains National Park,99,Vascular Plant,Perennial Ryegrass,No Intervention,False
Ditrichum lineare,Yellowstone National Park,255,Nonvascular Plant,Ditrichum Moss,No Intervention,False
Erigeron algidus,Yellowstone National Park,275,Vascular Plant,"Sierra Daisy, Stalked Fleabane",No Intervention,False
Carex tiogana,Yellowstone National Park,248,Vascular Plant,Tioga Pass Sedge,No Intervention,False
Plagiobothrys scouleri var. hispidulus,Great Smoky Mountains National Park,80,Vascular Plant,"Meadow Popcornflower, Sleeping Popcornflower",No Intervention,False
Heterophyllium affine,Great Smoky Mountains National Park,84,Nonvascular Plant,Heterophyllium Moss,No Intervention,False
Trifolium willdenovii,Yosemite National Park,147,Vascular Plant,Tomcat Clover,No Intervention,False
Necturus maculosus maculosus,Great Smoky Mountains National Park,93,Amphibian,Mudpuppy,No Intervention,False
Nuphar lutea ssp. polysepala,Yellowstone National Park,273,Vascular Plant,"Rocky Mountain Cowlily, Rocky Mountain Pondlily, Rocky Mountain Pond-Lily, Yellow Pond-Lily",No Intervention,False
Sisymbrium altissimum,Yellowstone National Park,283,Vascular Plant,"Jim Hill Mustard, Tall Hedge-Mustard, Tall Mustard, Tall Tumblemustard, Tumble Mustard, Tumblemustard, Tumbleweed Mustard",No Intervention,False
Dianthus armeria,Great Smoky Mountains National Park,70,Vascular Plant,"Deptford Pink, Deptford-Pink",No Intervention,False
Helianthus atrorubens,Yosemite National Park,122,Vascular Plant,"Purple-Disk Sunflower, Sunflower",No Intervention,False
Hypnum fertile,Great Smoky Mountains National Park,89,Nonvascular Plant,Hypnum Moss,No Intervention,False
Castilleja rhexiifolia,Bryce National Park,101,Vascular Plant,"Rhexialeaf Paintbrush, Splitleaf Indian Paintbrush",No Intervention,False
Claytonia rubra ssp. rubra,Great Smoky Mountains National Park,41,Vascular Plant,Redstem Springbeauty,No Intervention,False
Ardea albus,Bryce National Park,129,Bird,Great Egret,No Intervention,False
Eragrostis cilianensis,Bryce National Park,86,Vascular Plant,Stinkgrass,No Intervention,False
Bufo fowleri,Bryce National Park,115,Amphibian,"Fowler's Toad, Woodhouse's Toad",No Intervention,False
Oenothera linifolia,Yosemite National Park,174,Vascular Plant,Threadleaf Eveningprimrose,No Intervention,False
Salix caroliniana,Yellowstone National Park,263,Vascular Plant,Carolina Willow,No Intervention,False
Herniaria hirsuta ssp. hirsuta,Great Smoky Mountains National Park,92,Vascular Plant,Hairy Rupturewort,No Intervention,False
Eupatorium pilosum,Yosemite National Park,140,Vascular Plant,Rough Boneset,No Intervention,False
Eriogonum umbellatum var. nevadense,Bryce National Park,140,Vascular Plant,"Nevada Buckwheat, Sulphur-Flower Buckwheat",No Intervention,False
Clarkia unguiculata,Great Smoky Mountains National Park,75,Vascular Plant,Elegant Clarkia,No Intervention,False
Atrichum undulatum,Yellowstone National Park,243,Nonvascular Plant,Undulate Atrichum Moss,No Intervention,False
Lampropeltis zonata multicincta,Yellowstone National Park,231,Reptile,Sierra Mountain Kingsnake,No Intervention,False
Rhododendron vaseyi,Yellowstone National Park,255,Vascular Plant,Pink-Shell Azalea,No Intervention,False
Rhododendron minus,Yosemite National Park,173,Vascular Plant,"Carolina Rhododendron, Small-Leaved Rhododendron",No Intervention,False
Falco peregrinus anatum,Bryce National Park,72,Bird,American Peregrine Falcon,In Recovery,True
Graptemys geographica,Yellowstone National Park,217,Reptile,"Common Map Turtle, Map Turtle",No Intervention,False
Cynanchum laeve,Bryce National Park,70,Vascular Plant,Cynanchum,No Intervention,False
Juncus regelii,Bryce National Park,84,Vascular Plant,"Regel Rush, Regel's Rush",No Intervention,False
Juncus saximontanus,Yellowstone National Park,239,Vascular Plant,Rocky Mountain Rush,No Intervention,False
Stuckenia filiformis ssp. occidentalis,Great Smoky Mountains National Park,73,Vascular Plant,"Slender Pondweed, Western Fineleaf Pondweed",No Intervention,False
Circaea alpina ssp. pacifica,Bryce National Park,112,Vascular Plant,"Small Enchanter Nightshade, Small Enchanter's Nightshade",No Intervention,False
Microtus californicus,Bryce National Park,105,Mammal,California Meadow Mouse,No Intervention,False
Polygala senega var. latifolia,Great Smoky Mountains National Park,66,Vascular Plant,Seneca Snakeroot,No Intervention,False
Sorbus scopulina var. scopulina,Bryce National Park,100,Vascular Plant,"Cascade Mountain-Ash, Greene's Mountain-Ash",No Intervention,False
Buteo jamaicensis,Great Smoky Mountains National Park,106,Bird,Red-Tailed Hawk,No Intervention,False
Symphyotrichum phlogifolium,Yosemite National Park,101,Vascular Plant,Thinleaf Late Purple Aster,No Intervention,False
Polygonum hydropiperoides,Bryce National Park,105,Vascular Plant,"A Smartweed, Swamp Smartweed",No Intervention,False
Polygonum amphibium var. stipulaceum,Yosemite National Park,120,Vascular Plant,Water Smartweed,No Intervention,False
Lactuca biennis,Yosemite National Park,113,Vascular Plant,Tall Blue Lettuce,No Intervention,False
Lupinus benthamii,Yosemite National Park,155,Vascular Plant,Spider Lupine,No Intervention,False
Mnium marginatum,Great Smoky Mountains National Park,100,Nonvascular Plant,Olivegreen Calcareous Moss,No Intervention,False
Pseudacris regilla,Bryce National Park,73,Amphibian,"Northern Pacific Treefrog, Pacific Chorus Frog, Pacific Treefrog",No Intervention,False
Carex vesicaria var. vesicaria,Yellowstone National Park,236,Vascular Plant,"Blister Sedge, Lesser Bladder Sedge",No Intervention,False
Populus deltoides,Bryce National Park,129,Vascular Plant,Eastern Cottonwood,No Intervention,False
Hylotelephium erythrostictum,Yosemite National Park,157,Vascular Plant,"Garden Orpine, Garden Stonecrop",No Intervention,False
Pedicularis semibarbata,Bryce National Park,86,Vascular Plant,"Bearded Lousewort, Pinewoods Lousewort",No Intervention,False
Chaerophyllum tainturieri var. tainturieri,Bryce National Park,101,Vascular Plant,Wild Chervil,No Intervention,False
Phleum pratense,Great Smoky Mountains National Park,106,Vascular Plant,"Common Timothy, Meadow Timothy",No Intervention,False
Vitis aestivalis var. bicolor,Great Smoky Mountains National Park,63,Vascular Plant,Summer Grape,No Intervention,False
Antennaria rosea ssp. confinis,Bryce National Park,93,Vascular Plant,Rosy Pussytoes,No Intervention,False
Ranunculus allegheniensis,Great Smoky Mountains National Park,65,Vascular Plant,"Allegheny Early Buttercup, Allegheny Mountain Crowfoot",No Intervention,False
Ribes inerme var. inerme,Yellowstone National Park,285,Vascular Plant,Whitestem Gooseberry,No Intervention,False
Apera interrupta,Great Smoky Mountains National Park,50,Vascular Plant,"Dense Silkybent, Dense Silky-Bent, Silky Bentgrass",No Intervention,False
Achillea millefolium var. occidentalis,Bryce National Park,119,Vascular Plant,Yarrow,No Intervention,False
Ipomopsis aggregata var. aggregata,Great Smoky Mountains National Park,91,Vascular Plant,Scarlet Gilia,No Intervention,False
Thamnophis elegans vagrans,Yellowstone National Park,237,Reptile,Wandering Garter Snake,No Intervention,False
Lathyrus latifolius,Great Smoky Mountains National Park,38,Vascular Plant,"Broad-Leaf Peavine, Everlasting Pea",No Intervention,False
Plagiothecium denticulatum,Yosemite National Park,150,Nonvascular Plant,Toothed Plagiothecium Moss,No Intervention,False
Nemophila spatulata,Bryce National Park,126,Vascular Plant,"Sierra Baby Blue Eyes, Sierra Blue-Eyes",No Intervention,False
Juncus triformis,Yellowstone National Park,237,Vascular Plant,Yosemite Dwarf Rush,No Intervention,False
Arrhenatherum elatius,Bryce National Park,90,Vascular Plant,Tall Oatgrass,No Intervention,False
Phenacobius crassilabrum,Yellowstone National Park,243,Fish,Fatlips Minnow,No Intervention,False
Cacalia atriplicifolia,Bryce National Park,69,Vascular Plant,Pale Indian-Plantain,No Intervention,False
Stizostedion canadense,Yosemite National Park,163,Fish,Sauger,No Intervention,False
Gratiola viscidula,Bryce National Park,95,Vascular Plant,Short's Hedgehyssop,No Intervention,False
Raphanus sativus,Great Smoky Mountains National Park,83,Vascular Plant,"Cultivated Radish, Garden Radish, Radish, Wild Radish",No Intervention,False
Plethodon cinereus,Bryce National Park,92,Amphibian,"Eastern Red-Backed Salamander, Redback Salamander",No Intervention,False
Carex davyi,Great Smoky Mountains National Park,67,Vascular Plant,Davy's Sedge,No Intervention,False
Arabis laevigata var. burkii,Great Smoky Mountains National Park,87,Vascular Plant,"Burk's Rockcress, Porter's Rockcress",No Intervention,False
Achillea millefolium var. occidentalis,Yellowstone National Park,277,Vascular Plant,Yarrow,No Intervention,False
Veronica peregrina,Bryce National Park,114,Vascular Plant,Purslane Speedwell,No Intervention,False
Lontra canadensis,Bryce National Park,99,Mammal,River Otter,No Intervention,False
Abies fraseri,Bryce National Park,109,Vascular Plant,Fraser Fir,Species of Concern,True
Mimulus mephiticus,Great Smoky Mountains National Park,109,Vascular Plant,"Foul Odor Monkeyflower, Foul-Odor Monkeyflower",No Intervention,False
Carex lemmonii,Great Smoky Mountains National Park,83,Vascular Plant,Lemmon's Sedge,No Intervention,False
Salix exigua,Bryce National Park,106,Vascular Plant,"Coyote Willow, Desert Willow, Narrowleaf Willow, Sandbar Willow",No Intervention,False
Hygrohypnum micans,Yosemite National Park,167,Nonvascular Plant,Hygrohypnum Moss,No Intervention,False
Besseya wyomingensis,Yellowstone National Park,205,Vascular Plant,"Wyoming Besseya, Wyoming Kittentail",No Intervention,False
Commelina virginica,Bryce National Park,108,Vascular Plant,"Virginia Dayflower, Virginia Day-Flower",No Intervention,False
Fritillaria atropurpurea,Yosemite National Park,170,Vascular Plant,"Leopard Lily, Spotted Fritillary, Spotted Missionbells",No Intervention,False
Campsis radicans,Yellowstone National Park,242,Vascular Plant,Trumpet-Creeper,No Intervention,False
Solidago curtisii,Bryce National Park,109,Vascular Plant,Mountain Decumbent Goldenrod,No Intervention,False
Sphagnum quinquefarium,Bryce National Park,87,Nonvascular Plant,Sphagnum,No Intervention,False
Rumex obtusifolius,Bryce National Park,133,Vascular Plant,Bitter Dock,No Intervention,False
Crepis nana,Great Smoky Mountains National Park,77,Vascular Plant,"Dwarf Alpine Hawksbeard, Small Hawksbeard, Tiny Hawksbeard",No Intervention,False
Sylvilagus floridanus,Yosemite National Park,164,Mammal,Eastern Cottontail,No Intervention,False
Leucopoa kingii,Yellowstone National Park,249,Vascular Plant,"Spike Fescue, Spike-Fescue",No Intervention,False
Pinus attenuata,Bryce National Park,103,Vascular Plant,Knobcone Pine,No Intervention,False
Hyophila involuta,Yellowstone National Park,229,Nonvascular Plant,Hyophila Moss,No Intervention,False
Diarrhena americana,Bryce National Park,94,Vascular Plant,American Beakgrain,No Intervention,False
Crepis occidentalis,Great Smoky Mountains National Park,106,Vascular Plant,"Largeflower Hawksbeard, Large-Flower Hawk's-Beard, Western Hawksbeard",No Intervention,False
Spizella passerina,Bryce National Park,128,Bird,Chipping Sparrow,No Intervention,False
Veronica arvensis,Great Smoky Mountains National Park,55,Vascular Plant,Corn Speedwell,No Intervention,False
Salix fragilis,Yosemite National Park,159,Vascular Plant,Crack Willow,No Intervention,False
Pellaea andromedifolia,Yosemite National Park,138,Vascular Plant,Coffee Cliffbrake,No Intervention,False
Acer negundo var. violaceum,Bryce National Park,91,Vascular Plant,Boxelder,No Intervention,False
Mimulus patulus,Bryce National Park,100,Vascular Plant,Stalk-Leaved Monkey-Flower,Species of Concern,True
Viburnum opulus,Yosemite National Park,168,Vascular Plant,"Guelder-Rose Viburnum, Highbush Cranberry",No Intervention,False
Neotoma macrotis streatori,Yosemite National Park,123,Mammal,Big-Eared Woodrat,No Intervention,False
Arabis lyallii var. nubigena,Yosemite National Park,167,Vascular Plant,Lyall's Rockcress,No Intervention,False
Mollugo verticillata,Bryce National Park,71,Vascular Plant,"Carpet-Weed, Green Carpet-Weed",No Intervention,False
Forsythia viridissima,Bryce National Park,98,Vascular Plant,"Forsythia, Green-Stem Forsythia",No Intervention,False
Vaccinium myrtilloides,Great Smoky Mountains National Park,79,Vascular Plant,"Sour-Top Blueberry, Velvetleaf Blueberry, Velvetleaf Huckleberry",No Intervention,False
Dichanthelium scoparium,Yellowstone National Park,194,Vascular Plant,"Broom Panic Grass, Velvet Panic Grass",No Intervention,False
Salix prolixa,Great Smoky Mountains National Park,70,Vascular Plant,Mackenzie's Willow,No Intervention,False
Heuchera merriamii,Bryce National Park,103,Vascular Plant,Merriam's Alumroot,No Intervention,False
Ampelopsis cordata,Yellowstone National Park,237,Vascular Plant,Peppervine,No Intervention,False
Virginia valeriae valeriae,Bryce National Park,101,Reptile,Eastern Earth Snake,No Intervention,False
Fissidens exilis,Yosemite National Park,127,Nonvascular Plant,Fissidens Moss,No Intervention,False
Passerina cyanea,Bryce National Park,83,Bird,Indigo Bunting,No Intervention,False
Empidonax traillii,Yosemite National Park,121,Bird,Willow Flycatcher,Species of Concern,True
Lupinus grayi,Bryce National Park,76,Vascular Plant,"Gray's Lupine, Sierra Lupine",No Intervention,False
Arctium minus,Bryce National Park,66,Vascular Plant,"Lesser Burdock, Lesser Burrdock",No Intervention,False
Lepidium virginicum,Great Smoky Mountains National Park,91,Vascular Plant,"Poor Man's Pepper, Poor-Man's Pepper-Grass",No Intervention,False
Polygonum punctatum,Bryce National Park,81,Vascular Plant,"Dotted Smartweed, Punctate Smartweed",No Intervention,False
Sida hermaphrodita,Great Smoky Mountains National Park,65,Vascular Plant,Virginia Fanpetals,No Intervention,False
Carya pallida,Yellowstone National Park,257,Vascular Plant,"Pale Hickory, Sand Hickory",No Intervention,False
Hordeum murinum ssp. leporinum,Yellowstone National Park,249,Vascular Plant,"Lepor Barley, Leporinum Barley",No Intervention,False
Cinna arundinacea,Yellowstone National Park,252,Vascular Plant,"Reedgrass, Stout Wood Reed-Grass",No Intervention,False
Centaurea melitensis,Yosemite National Park,146,Vascular Plant,"Malta Starthistle, Maltese Star Thistle, Maltese Star-Thistle, Napa Thistle, Spotted Knapweed, Tocalote",No Intervention,False
Hepatica nobilis,Bryce National Park,121,Vascular Plant,Hepatica,No Intervention,False
Epilobium minutum,Yellowstone National Park,239,Vascular Plant,"Chaparral Willowherb, Minute Willowweed",No Intervention,False
Alectoris chukar,Yellowstone National Park,253,Bird,Chukar,No Intervention,False
Chamerion latifolium,Bryce National Park,79,Vascular Plant,Dwarf Fireweed,No Intervention,False
Microtus chrotorrhinus,Bryce National Park,123,Mammal,"Rock Vole, Southern Rock Vole",No Intervention,False
Digitaria sanguinalis,Great Smoky Mountains National Park,91,Vascular Plant,"Crabgrass, Hairy Crabgrass",No Intervention,False
Perideridia parishii ssp. latifolia,Bryce National Park,85,Vascular Plant,Parish's Yampah,No Intervention,False
Sciurus carolinensis,Yellowstone National Park,245,Mammal,"Eastern Gray Squirrel, Gray Squirrel",No Intervention,False
Saxifraga caroliniana,Yosemite National Park,99,Vascular Plant,Carolina Saxifrage,Species of Concern,True
Solanum xanti,Yellowstone National Park,276,Vascular Plant,"Chaparral Nightshade, Purple Nightshade",No Intervention,False
Oncophorus raui,Yosemite National Park,126,Nonvascular Plant,Oncophorus Moss,No Intervention,False
Cryptogramma stelleri,Yosemite National Park,143,Vascular Plant,"Fragile Rockbrake, Slender Cliffbrake",No Intervention,False
Tachycineta thalassina,Great Smoky Mountains National Park,86,Bird,Violet-Green Swallow,No Intervention,False
Centrocercus urophasianus,Yosemite National Park,187,Bird,"Greater Sage Grouse, Greater Sage-Grouse, Sage Grouse",No Intervention,False
Trifolium campestre,Great Smoky Mountains National Park,67,Vascular Plant,"Low Hop Clover, Low Hop-Clover",No Intervention,False
Plantago pusilla,Yellowstone National Park,242,Vascular Plant,"Dwarf Plantain, Small Plantain",No Intervention,False
Spiza americana,Yosemite National Park,150,Bird,Dickcissel,No Intervention,False
Pica hudsonia,Yosemite National Park,146,Bird,"Black-Billed Magpie, Magpie",No Intervention,False
Poa annua,Yellowstone National Park,253,Vascular Plant,"Annual Blue Grass, Annual Bluegrass",No Intervention,False
Salvelinus namaycush,Yellowstone National Park,270,Fish,Lake Trout,No Intervention,False
Entodon macropodus,Yellowstone National Park,216,Nonvascular Plant,Entodon Moss,No Intervention,False
Salvia urticifolia,Yellowstone National Park,261,Vascular Plant,Nettleleaf Sage,No Intervention,False
Rorippa curvisiliqua,Bryce National Park,61,Vascular Plant,Curvepod Yellowcress,No Intervention,False
Tortula ammonsiana,Yosemite National Park,142,Nonvascular Plant,Ammon's Screw-Moss,Species of Concern,True
Caulophyllum thalictroides,Bryce National Park,43,Vascular Plant,Blue Cohosh,No Intervention,False
Balsamorhiza sagittata,Great Smoky Mountains National Park,96,Vascular Plant,Arrowleaf Balsamroot,No Intervention,False
